
 customer no 469  and interarrival :3.958 minutes


 customer no 470  and interarrival :0.118 minutes


 customer no 471  and interarrival :0.539 minutes


 customer no 472  and interarrival :2.026 minutes


 customer no 473  and interarrival :0.469 minutes


 customer no 474  and interarrival :0.166 minutes


 customer no 474  and interarrival :1.676 minutes


 customer no 475  and interarrival :0.882 minutes


 customer no 476  and interarrival :1.194 minutes


 customer no 476  and interarrival :0.389 minutes


 customer no 477  and interarrival :2.190 minutes


 customer no 480  and interarrival :0.047 minutes


 customer no 481  and interarrival :2.483 minutes


 customer no 482  and interarrival :2.456 minutes


 customer no 483  and interarrival :1.700 minutes


 customer no 484  and interarrival :0.096 minutes


 customer no 485  and interarrival :0.399 minutes


 customer no 486  and interarrival :0.461 minutes


 customer no 486  and interarrival :1.747 minutes


 customer no 487  and interarrival :0.914 minutes


 customer no 489  and interarrival :3.141 minutes


 customer no 490  and interarrival :0.256 minutes


 customer no 491  and interarrival :1.156 minutes


 customer no 492  and interarrival :0.096 minutes


 customer no 493  and interarrival :0.502 minutes


 customer no 493  and interarrival :2.659 minutes


 customer no 495  and interarrival :0.794 minutes


 customer no 496  and interarrival :1.519 minutes


 customer no 497  and interarrival :0.939 minutes


 customer no 498  and interarrival :0.426 minutes


 customer no 499  and interarrival :1.227 minutes


 customer no 500  and interarrival :0.161 minutes


 customer no 501  and interarrival :0.573 minutes


 customer no 502  and interarrival :0.112 minutes


 customer no 503  and interarrival :0.324 minutes


 customer no 504  and interarrival :2.098 minutes


 customer no 505  and interarrival :0.316 minutes


 customer no 506  and interarrival :0.575 minutes


 customer no 507  and interarrival :1.192 minutes


 customer no 508  and interarrival :2.524 minutes


 customer no 509  and interarrival :0.861 minutes


 customer no 510  and interarrival :1.467 minutes


 customer no 511  and interarrival :2.524 minutes


 customer no 512  and interarrival :0.552 minutes


 customer no 513  and interarrival :0.856 minutes


 customer no 514  and interarrival :0.466 minutes


 customer no 515  and interarrival :1.020 minutes


 customer no 516  and interarrival :0.751 minutes


 customer no 517  and interarrival :0.278 minutes


 customer no 518  and interarrival :0.595 minutes


 customer no 519  and interarrival :0.752 minutes


 customer no 519  and interarrival :0.149 minutes


 customer no 519  and interarrival :2.875 minutes


 customer no 522  and interarrival :0.149 minutes


 customer no 523  and interarrival :0.299 minutes


 customer no 523  and interarrival :2.749 minutes


 customer no 525  and interarrival :0.161 minutes


 customer no 526  and interarrival :0.010 minutes


 customer no 526  and interarrival :1.162 minutes


 customer no 528  and interarrival :1.461 minutes


 customer no 528  and interarrival :3.649 minutes


 customer no 530  and interarrival :0.395 minutes


 customer no 531  and interarrival :0.109 minutes


 customer no 532  and interarrival :1.889 minutes


 customer no 533  and interarrival :1.196 minutes


 customer no 534  and interarrival :0.186 minutes


 customer no 535  and interarrival :0.990 minutes


 customer no 536  and interarrival :1.483 minutes


 customer no 537  and interarrival :0.581 minutes


 customer no 538  and interarrival :0.235 minutes


 customer no 539  and interarrival :1.111 minutes


 customer no 540  and interarrival :1.141 minutes


 customer no 541  and interarrival :0.323 minutes


 customer no 542  and interarrival :1.158 minutes


 customer no 543  and interarrival :1.524 minutes


 customer no 544  and interarrival :0.385 minutes


 customer no 545  and interarrival :0.195 minutes


 customer no 546  and interarrival :2.476 minutes


 customer no 547  and interarrival :0.051 minutes


 customer no 548  and interarrival :0.432 minutes


 customer no 549  and interarrival :3.097 minutes


 customer no 550  and interarrival :0.476 minutes


 customer no 551  and interarrival :0.500 minutes


 customer no 552  and interarrival :2.456 minutes


 customer no 553  and interarrival :0.242 minutes


 customer no 554  and interarrival :0.205 minutes


 customer no 554  and interarrival :2.275 minutes


 customer no 556  and interarrival :0.159 minutes


 customer no 557  and interarrival :0.095 minutes


 customer no 557  and interarrival :0.334 minutes


 customer no 558  and interarrival :0.246 minutes


 customer no 559  and interarrival :1.587 minutes


 customer no 561  and interarrival :0.119 minutes


 customer no 562  and interarrival :0.250 minutes


 customer no 562  and interarrival :0.122 minutes


 customer no 564  and interarrival :0.120 minutes


 customer no 565  and interarrival :0.403 minutes


 customer no 566  and interarrival :3.030 minutes


 customer no 567  and interarrival :0.183 minutes


 customer no 568  and interarrival :3.154 minutes


 customer no 569  and interarrival :0.888 minutes


 customer no 570  and interarrival :0.138 minutes


 customer no 571  and interarrival :0.175 minutes


 customer no 572  and interarrival :1.638 minutes


 customer no 573  and interarrival :0.734 minutes


 customer no 574  and interarrival :1.648 minutes


 customer no 575  and interarrival :0.365 minutes


 customer no 576  and interarrival :0.088 minutes


 customer no 576  and interarrival :1.658 minutes


 customer no 578  and interarrival :0.587 minutes


 customer no 579  and interarrival :1.082 minutes


 customer no 580  and interarrival :0.021 minutes


 customer no 581  and interarrival :0.006 minutes


 customer no 581  and interarrival :0.017 minutes


 customer no 581  and interarrival :1.290 minutes


 customer no 584  and interarrival :2.806 minutes


 customer no 585  and interarrival :0.158 minutes


 customer no 586  and interarrival :0.293 minutes


 customer no 587  and interarrival :1.740 minutes


 customer no 588  and interarrival :3.907 minutes


 customer no 589  and interarrival :1.954 minutes


 customer no 590  and interarrival :1.070 minutes


 customer no 591  and interarrival :3.043 minutes


 customer no 592  and interarrival :1.082 minutes


 customer no 593  and interarrival :0.318 minutes


 customer no 594  and interarrival :0.520 minutes


 customer no 595  and interarrival :0.496 minutes


 customer no 596  and interarrival :0.662 minutes


 customer no 597  and interarrival :0.642 minutes


 customer no 598  and interarrival :0.555 minutes


 customer no 599  and interarrival :0.031 minutes

