
 customer no 529  and interarrival :1.310 minutes


 customer no 530  and interarrival :3.794 minutes


 customer no 531  and interarrival :0.567 minutes


 customer no 532  and interarrival :0.221 minutes


 customer no 532  and interarrival :0.580 minutes


 customer no 532  and interarrival :2.235 minutes


 customer no 535  and interarrival :0.744 minutes


 customer no 536  and interarrival :1.820 minutes


 customer no 537  and interarrival :0.295 minutes


 customer no 538  and interarrival :0.581 minutes


 customer no 538  and interarrival :0.261 minutes


 customer no 538  and interarrival :3.437 minutes


 customer no 541  and interarrival :0.407 minutes


 customer no 542  and interarrival :1.390 minutes


 customer no 543  and interarrival :2.486 minutes


 customer no 544  and interarrival :1.589 minutes


 customer no 545  and interarrival :0.181 minutes


 customer no 546  and interarrival :0.825 minutes


 customer no 547  and interarrival :0.870 minutes


 customer no 548  and interarrival :0.174 minutes


 customer no 549  and interarrival :1.293 minutes


 customer no 550  and interarrival :0.493 minutes


 customer no 551  and interarrival :0.124 minutes


 customer no 551  and interarrival :0.479 minutes


 customer no 552  and interarrival :0.207 minutes


 customer no 552  and interarrival :0.140 minutes


 customer no 554  and interarrival :1.243 minutes


 customer no 556  and interarrival :0.424 minutes


 customer no 557  and interarrival :0.422 minutes


 customer no 558  and interarrival :0.778 minutes


 customer no 559  and interarrival :0.605 minutes


 customer no 560  and interarrival :0.124 minutes


 customer no 560  and interarrival :0.136 minutes


 customer no 560  and interarrival :2.007 minutes


 customer no 560  and interarrival :1.388 minutes


 customer no 561  and interarrival :0.392 minutes


 customer no 563  and interarrival :0.057 minutes


 customer no 563  and interarrival :0.095 minutes


 customer no 563  and interarrival :1.027 minutes


 customer no 567  and interarrival :1.255 minutes


 customer no 569  and interarrival :0.189 minutes


 customer no 570  and interarrival :0.444 minutes


 customer no 570  and interarrival :0.048 minutes


 customer no 571  and interarrival :1.689 minutes


 customer no 573  and interarrival :0.782 minutes


 customer no 574  and interarrival :1.486 minutes


 customer no 575  and interarrival :1.804 minutes


 customer no 576  and interarrival :1.284 minutes


 customer no 577  and interarrival :2.021 minutes


 customer no 578  and interarrival :0.004 minutes


 customer no 579  and interarrival :1.233 minutes


 customer no 580  and interarrival :0.760 minutes


 customer no 580  and interarrival :0.801 minutes


 customer no 582  and interarrival :0.214 minutes


 customer no 582  and interarrival :0.583 minutes


 customer no 583  and interarrival :0.254 minutes


 customer no 585  and interarrival :0.099 minutes


 customer no 586  and interarrival :0.024 minutes


 customer no 586  and interarrival :1.573 minutes


 customer no 588  and interarrival :0.539 minutes


 customer no 589  and interarrival :2.675 minutes


 customer no 590  and interarrival :1.107 minutes


 customer no 591  and interarrival :1.935 minutes


 customer no 592  and interarrival :0.073 minutes


 customer no 593  and interarrival :0.743 minutes


 customer no 594  and interarrival :1.572 minutes


 customer no 595  and interarrival :0.035 minutes


 customer no 596  and interarrival :0.012 minutes


 customer no 596  and interarrival :0.249 minutes


 customer no 596  and interarrival :0.221 minutes


 customer no 596  and interarrival :0.585 minutes


 customer no 597  and interarrival :1.779 minutes


 customer no 600  and interarrival :1.457 minutes


 customer no 600  and interarrival :2.901 minutes


 customer no 603  and interarrival :1.332 minutes


 customer no 604  and interarrival :1.146 minutes


 customer no 605  and interarrival :0.194 minutes


 customer no 606  and interarrival :2.907 minutes


 customer no 607  and interarrival :0.526 minutes


 customer no 608  and interarrival :0.985 minutes


